yellow 	   colour ,  color   | 0.0 | .1 | 2
hang 	   fix ,  secure ,  execute ,  drop ,  fall ,  flow ,  be ,  attend ,  listen ,  cling ,  obstruct ,  blockade ,  block ,  embarrass ,  decorate ,  adorn ,  grace* ,  suspend ,  loom ,  hover ,  fixate ,  swing   | 0.0 | .1 | 19
conjure 	   raise ,  evoke ,  stir ,  arouse ,  make ,  create ,  bid ,  press ,  plead ,  plot ,  curse ,  damn ,  bless   | 0.0 | .1 | 10
trawl 	   fish   | 0.0 | .1 | 1
look 	   appear ,  seem ,  be ,  search ,  examine ,  see ,  front ,  face ,  lie ,  attend ,  care ,  convey ,  expect ,  await ,  wait ,  match ,  fit ,  correspond ,  check ,  gibe ,  tally ,  agree ,  count ,  bet ,  depend ,  calculate ,  reckon ,  trust ,  swear ,  rely ,  bank ,  feel ,  gleam ,  gloat ,  lift ,  admire ,  poke ,  prospect ,  consider ,  hunt ,  rise ,  beam ,  gawp ,  sound ,  make ,  minister ,  stare ,  loom ,  glance ,  goggle ,  eye ,  peer ,  gape ,  tend ,  anticipate ,  cut ,  shine ,  jump ,  intrude ,  confront ,  regard ,  nose ,  gaze ,  glow   | 0.0 | .1 | 33
pardon 	   excuse ,  forgive ,  amnesty   | 0.0 | .1 | 3
grant 	   allow ,  give ,  award ,  concede^ ,  yield ,  agree ,  hold ,  accord ,  allot ,  cede ,  gift ,  present ,  pension ,  allowance ,  forgive   | 0.0 | .1 | 19
funk 	   shrink ,  recoil ,  move   | 0.0 | .1 | 3
lord 	   gentle ,  entitle   | 0.0 | .1 | 2
shave 	   groom ,  trim ,  cut ,  reduce ,  plane ,  carve ,  graze ,  rake ,  razor   | 0.0 | .1 | 11
sink 	   drop ,  move ,  displace ,  pass ,  lapse ,  settle ,  descend ,  fall ,  dip ,  decline ,  slump ,  collapse^ ,  give ,  break ,  founder ,  bury ,  implant ,  embed ,  plant ,  flag ,  set   | 0.0 | .1 | 24
navigate 	   voyage ,  sail ,  travel ,  journey ,  pilot ,  steer ,  manoeuvre ,  direct ,  point ,  head ,  guide ,  channelise   | 0.0 | .1 | 19
battle 	   combat ,  contend ,  fight ,  struggle ,  wrestle   | 0.0 | .1 | 4
